initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |

  0.016  | -0.112  |    -16  |     19  | -0.020  |  0.022  |  1.598  |
  0.090  | -0.484  |    -67  |     84  | -0.021  |  0.021  |  1.615  |
  0.133  | -0.622  |    -89  |    105  | -0.016  |  0.021  |  1.611  |
  0.138  | -0.481  |    -70  |     80  | -0.005  |  0.022  |  1.620  |
  0.096  | -0.038  |     -5  |      7  | -0.007  |  0.022  |  1.620  |
  0.037  |  0.558  |     89  |    -85  | -0.007  |  0.022  |  1.620  |
 -0.030  |  1.116  |    176  |   -172  | -0.009  |  0.022  |  1.620  |
 -0.049  |  1.321  |    210  |   -202  | -0.011  |  0.022  |  1.619  |
 -0.034  |  1.292  |    206  |   -197  | -0.009  |  0.022  |  1.619  |
 -0.016  |  1.100  |    179  |   -164  | -0.008  |  0.022  |  1.620  |
  0.051  |  0.629  |    110  |    -86  | -0.010  |  0.022  |  1.618  |
  0.130  |  0.228  |     51  |    -20  | -0.023  |  0.021  |  1.603  |
  0.132  |  0.202  |     46  |    -17  | -0.053  |  0.022  |  1.637  |
  0.109  |  0.427  |     79  |    -54  | -0.046  |  0.021  |  1.646  |
  0.035  |  0.968  |    158  |   -144  | -0.049  |  0.022  | -3.111  |
 -0.042  |  1.379  |    222  |   -208  | -0.049  |  0.022  | -3.111  |
 -0.039  |  1.395  |    222  |   -213  | -0.049  |  0.022  | -3.111  |
 -0.026  |  1.209  |    195  |   -182  | -0.049  |  0.022  | -3.111  |
  0.041  |  0.699  |    120  |    -98  | -0.049  |  0.022  | -3.111  |
  0.132  |  0.176  |     42  |    -13  | -0.049  |  0.022  | -3.111  |
  0.139  |  0.087  |     25  |     -2  | -0.049  |  0.022  | -3.111  |
  0.123  |  0.244  |     47  |    -29  | -0.049  |  0.022  | -3.111  |
  0.068  |  0.670  |    110  |    -99  | -0.049  |  0.022  | -3.111  |
 -0.011  |  1.183  |    188  |   -181  | -0.049  |  0.022  | -3.111  |
 -0.043  |  1.353  |    215  |   -207  | -0.049  |  0.022  | -3.111  |
 -0.040  |  1.267  |    202  |   -193  | -0.049  |  0.022  | -3.111  |
  0.012  |  0.834  |    139  |   -121  | -0.049  |  0.022  | -3.111  |
  0.103  |  0.221  |     47  |    -22  | -0.049  |  0.022  | -3.111  |
  0.150  | -0.042  |      4  |     17  | -0.049  |  0.022  | -3.111  |
  0.131  |  0.077  |     19  |     -5  | -0.049  |  0.022  | -3.111  |
  0.096  |  0.394  |     67  |    -56  | -0.049  |  0.022  | -3.111  |
  0.026  |  0.914  |    145  |   -140  | -0.049  |  0.022  | -3.111  |
 -0.044  |  1.286  |    205  |   -196  | -0.049  |  0.022  | -3.111  |
 -0.041  |  1.296  |    206  |   -198  | -0.049  |  0.022  | -3.111  |
 -0.027  |  1.084  |    176  |   -162  | -0.049  |  0.022  | -3.111  |
  0.053  |  0.500  |     90  |    -66  | -0.046  |  0.022  |  1.620  |
  0.150  | -0.064  |      3  |     23  | -0.041  |  0.022  |  1.616  |
  0.151  | -0.096  |     -5  |     25  | -0.036  |  0.022  |  1.599  |
  0.123  |  0.180  |     36  |    -20  | -0.037  |  0.022  |  1.599  |
  0.056  |  0.725  |    118  |   -108  | -0.045  |  0.023  |  1.595  |
 -0.035  |  1.273  |    202  |   -195  | -0.053  |  0.023  |  1.598  |
 -0.045  |  1.401  |    223  |   -214  | -0.058  |  0.023  |  1.600  |
 -0.046  |  1.331  |    215  |   -200  | -0.058  |  0.023  |  1.604  |
  0.001  |  0.895  |    148  |   -131  | -0.053  |  0.023  |  1.610  |
  0.109  |  0.141  |     34  |    -10  | -0.044  |  0.023  |  1.614  |
  0.164  | -0.183  |    -19  |     38  | -0.037  |  0.021  |  1.597  |
  0.141  | -0.029  |      1  |     10  | -0.034  |  0.023  |  1.591  |
  0.100  |  0.356  |     60  |    -51  | -0.039  |  0.024  |  1.590  |
  0.023  |  0.936  |    149  |   -143  | -0.047  |  0.024  |  1.591  |
 -0.049  |  1.357  |    215  |   -208  | -0.054  |  0.024  |  1.604  |
  0.110  |  0.680  |    110  |   -102  | -0.059  |  0.024  |  1.597  |
  0.170  |  0.657  |    111  |    -94  | -0.066  |  0.023  |  1.590  |
  0.126  |  1.155  |    189  |   -171  | -0.074  |  0.023  |  1.595  |
  0.095  |  1.719  |    274  |   -262  | -0.088  |  0.023  |  1.594  |
  0.072  |  2.254  |    354  |   -349  | -0.104  |  0.024  |  1.591  |
  0.105  |  2.659  |    418  |   -411  | -0.126  |  0.024  |  1.588  |
  0.112  |  3.233  |    506  |   -502  | -0.147  |  0.025  |  1.577  |
  0.108  |  3.941  |    608  |   -621  | -0.174  |  0.023  |  1.556  |
  0.106  |  4.730  |    723  |   -752  | -0.204  |  0.025  |  1.552  |
  0.112  |  5.564  |    847  |   -888  | -0.236  |  0.026  |  1.524  |
  0.105  |  6.555  |   1003  |  -1041  | -0.269  |  0.026  |  1.515  |
  0.048  |  7.780  |   1201  |  -1225  | -0.308  |  0.028  |  1.531  |
  0.064  |  8.659  |   1345  |  -1355  | -0.348  |  0.029  |  1.556  |
