initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |

  0.009  | -0.077  |    -11  |     13  | -0.005  |  0.024  |  1.610  |
  0.047  | -0.292  |    -41  |     50  | -0.005  |  0.024  |  1.610  |
  0.061  | -0.359  |    -49  |     63  | -0.005  |  0.024  |  1.610  |
  0.065  | -0.362  |    -49  |     64  | -0.005  |  0.024  |  1.610  |
  0.074  | -0.359  |    -48  |     64  | -0.005  |  0.024  |  1.610  |
  0.097  | -0.305  |    -41  |     54  | -0.005  |  0.024  |  1.610  |
  0.080  |  0.074  |     14  |     -9  | -0.005  |  0.024  |  1.610  |
  0.046  |  0.510  |     75  |    -84  | -0.005  |  0.024  |  1.610  |
  0.028  |  0.872  |    130  |   -142  | -0.005  |  0.024  |  1.610  |
  0.019  |  1.151  |    176  |   -183  | -0.005  |  0.024  |  1.610  |
  0.025  |  1.360  |    211  |   -213  | -0.005  |  0.024  |  1.610  |
  0.021  |  1.539  |    241  |   -239  | -0.005  |  0.024  |  1.610  |
  0.019  |  1.661  |    262  |   -256  | -0.005  |  0.024  |  1.610  |
  0.032  |  1.706  |    274  |   -258  | -0.005  |  0.024  |  1.610  |
  0.029  |  1.780  |    282  |   -273  | -0.005  |  0.024  |  1.610  |
  0.022  |  1.806  |    283  |   -280  | -0.005  |  0.024  |  1.610  |
  0.015  |  1.789  |    279  |   -279  | -0.005  |  0.024  |  1.610  |
 -0.006  |  1.735  |    273  |   -268  | -0.005  |  0.024  |  1.610  |
  0.011  |  1.504  |    241  |   -228  | -0.005  |  0.024  |  1.610  |
  0.038  |  1.193  |    196  |   -176  | -0.005  |  0.024  |  1.610  |
  0.056  |  0.927  |    154  |   -135  | -0.005  |  0.024  |  1.610  |
  0.060  |  0.770  |    128  |   -112  | -0.005  |  0.024  |  1.610  |
  0.056  |  0.696  |    118  |    -99  | -0.005  |  0.024  |  1.610  |
  0.051  |  0.629  |    109  |    -87  | -0.005  |  0.024  |  1.610  |
  0.050  |  0.606  |    102  |    -87  | -0.005  |  0.024  |  1.610  |
  0.046  |  0.603  |    102  |    -86  | -0.005  |  0.024  |  1.610  |
  0.048  |  0.577  |    102  |    -78  | -0.005  |  0.024  |  1.610  |
  0.051  |  0.577  |    102  |    -78  | -0.005  |  0.024  |  1.610  |
  0.058  |  0.580  |    102  |    -79  | -0.005  |  0.024  |  1.610  |
  0.071  |  0.590  |    104  |    -80  | -0.005  |  0.024  |  1.610  |
  0.086  |  0.699  |    121  |    -97  | -0.005  |  0.024  |  1.610  |
  0.051  |  0.991  |    163  |   -146  | -0.005  |  0.024  |  1.610  |
  0.023  |  1.248  |    197  |   -192  | -0.005  |  0.024  |  1.610  |
  0.016  |  1.318  |    208  |   -203  | -0.005  |  0.024  |  1.610  |
  0.028  |  1.308  |    207  |   -201  | -0.005  |  0.024  |  1.610  |
  0.032  |  1.308  |    207  |   -201  | -0.005  |  0.024  |  1.610  |
  0.030  |  1.308  |    207  |   -201  | -0.005  |  0.024  |  1.610  |
  0.023  |  1.305  |    207  |   -200  | -0.005  |  0.024  |  1.610  |
  0.008  |  1.302  |    207  |   -199  | -0.005  |  0.024  |  1.610  |
  0.015  |  1.132  |    181  |   -172  | -0.005  |  0.024  |  1.610  |
  0.050  |  0.821  |    134  |   -122  | -0.005  |  0.024  |  1.610  |
  0.066  |  0.619  |    104  |    -89  | -0.005  |  0.024  |  1.610  |
  0.059  |  0.552  |     95  |    -77  | -0.005  |  0.024  |  1.610  |
  0.043  |  0.552  |     95  |    -77  | -0.005  |  0.024  |  1.610  |
  0.038  |  0.497  |     94  |    -61  | -0.005  |  0.024  |  1.610  |
  0.051  |  0.378  |     79  |    -39  | -0.005  |  0.024  |  1.610  |
  0.070  |  0.282  |     57  |    -31  | -0.005  |  0.024  |  1.610  |
  0.077  |  0.282  |     56  |    -32  | -0.005  |  0.024  |  1.610  |
  0.092  |  0.346  |     64  |    -44  | -0.005  |  0.024  |  1.610  |
  0.061  |  0.625  |    103  |    -92  | -0.005  |  0.024  |  1.610  |
  0.152  |  0.218  |     37  |    -31  | -0.005  |  0.024  |  1.610  |
  0.248  |  0.276  |     45  |    -41  | -0.005  |  0.024  |  1.610  |
  0.181  |  1.244  |    191  |   -197  | -0.005  |  0.024  |  1.610  |
  0.064  |  2.601  |    399  |   -412  | -0.005  |  0.024  |  1.610  |
  0.043  |  3.467  |    536  |   -545  | -0.005  |  0.024  |  1.610  |
  0.102  |  4.150  |    642  |   -652  | -0.005  |  0.024  |  1.610  |
  0.089  |  5.115  |    786  |   -809  | -0.219  |  0.024  |  1.561  |
  0.072  |  6.132  |    939  |   -973  | -0.256  |  0.025  |  1.546  |
  0.056  |  7.206  |   1106  |  -1141  | -0.295  |  0.026  |  1.539  |
  0.054  |  8.203  |   1265  |  -1293  | -0.335  |  0.026  |  1.543  |
  0.074  |  9.140  |   1415  |  -1435  | -0.372  |  0.027  |  1.554  |
  0.078  | 10.147  |   1571  |  -1593  | -0.416  |  0.027  |  1.559  |
  0.074  | 11.304  |   1746  |  -1779  | -0.465  |  0.027  |  1.546  |
  0.071  | 12.382  |   1912  |  -1949  | -0.504  |  0.027  |  1.533  |
  0.052  | 13.572  |   2101  |  -2131  | -0.551  |  0.029  |  1.542  |
  0.037  | 14.681  |   2279  |  -2299  | -0.591  |  0.029  |  1.552  |
  0.073  | 15.640  |   2435  |  -2442  | -0.639  |  0.031  |  1.574  |
  0.074  | 16.689  |   2597  |  -2607  | -0.682  |  0.031  |  1.577  |
  0.058  | 17.815  |   2768  |  -2787  | -0.721  |  0.030  |  1.567  |
  0.056  | 18.902  |   2933  |  -2961  | -0.767  |  0.031  |  1.553  |
  0.008  | 20.124  |   3127  |  -3148  | -0.806  |  0.031  |  1.555  |
  0.024  | 20.999  |   3267  |  -3281  | -0.849  |  0.031  |  1.566  |
  0.044  | 21.891  |   3408  |  -3418  | -0.885  |  0.032  |  1.582  |
  0.024  | 22.843  |   3554  |  -3569  | -0.923  |  0.033  |  1.583  |
  0.029  | 23.600  |   3668  |  -3691  | -0.953  |  0.033  |  1.574  |
  0.042  | 24.299  |   3773  |  -3804  | -0.982  |  0.033  |  1.562  |
  0.040  | 25.021  |   3884  |  -3918  | -1.014  |  0.034  |  1.557  |
  0.027  | 25.777  |   4006  |  -4032  | -1.045  |  0.034  |  1.561  |
 -0.005  | 26.525  |   4128  |  -4143  | -1.071  |  0.034  |  1.577  |
